Symbol;close;open;high;low;volume;averages;sma5;sma20;sma50;vma5;vma20;vma50;ranking and scores;score;yest score;score change;perfsince;barssince;1:trail stop;2:roc(21);3:rsi(2)<=20;4:sharpe ratio(21);5:close<=bbandslow;6:v-spike;rank1;rank2;rank3;rank4;rank5;rank6;daily pp;weeklypp;3pd sma of pp;13pd sma of pp;
IWM;167.699996;167.240005;167.869995;166.529998;24922582;0;167.3259974;164.5529994;159.37479898;19154656.4;17772189.1;18112949.64;0;1;5;4;0.708618767508562;5;2.009996;4.21327248587215;0;12.1580653765536;0;0;100;100;7.69000005722046;100;0;38.4599990844727;167.40333;165.690002;167.307774444444;165.307947666667;
TLT;120.379997;120.830001;121.089996;120.300003;7022836;0;119.7159968;119.4534984;119.24839952;7761807.2;8848501.8;7547626.72;0;2;4;2;-0.692958251996723;11;1.11999699999998;3.06506327743845;0;6.04375640289657;0;0;92.3099975585938;92.3099975585938;0;92.3099975585938;46.1500015258789;15.3800001144409;120.016667333333;119.479997666666;119.476665555556;119.983076179487;
DBA;18.459999;18.3099994;18.5400009;18.2399997;820455;0;18.5799998599999;18.8969998799999;18.963999894;670051;621702.75;492815.1;0;3;8;5;-1.17773713311985;9;-0.310001;-1.65157908041388;0;-1.75632513129825;0;0;69.2300033569336;46.1500015258789;30.7700004577637;61.5400009155273;61.5400009155273;61.5400009155273;18.4733333;18.8866672;18.6377779111111;18.8484613948717;
SHY;83.2399978;83.2399978;83.2699966;83.2300033;2481342;0;83.2139983600001;83.27749896;83.2686001139999;2670808.4;3107422.1;2362610.84;0;4;11;7;-0.0360259411851582;10;-0.0200022000000075;0.156415833307078;0;1.77650922280616;0;0;76.9199981689453;69.2300033569336;15.3800001144409;76.9199981689453;38.4599990844727;30.7700004577637;83.1966654;83.2733306333327;83.1977775777777;83.2992304794875;
SLV;15.6000003;15.96;15.96;15.4899997;24728295;0;15.9319998999998;15.65199985;15.632599934;13409499;7942259.75;8452427.9;0;5;2;-3;0.580271430299528;27;-0.539999700000001;1.23296886739739;1;1.47744306890675;0;1;38.4599990844727;76.9199981689453;46.1500015258789;69.2300033569336;30.7700004577637;100;16.1966666333333;15.7099996666667;16.03;15.7084614923077;
GLD;121.339996;122.18;122.199996;120.830001;14536993;0;122.7919994;122.838;124.41039974;7676878.6;6486104.65;6482043.86;0;6;1;-5;0;0;-1.550004;-0.776845204023213;1;-1.76995776769161;1;1;23.0799999237061;61.5400009155273;53.8499984741211;53.8499984741211;92.3099975585938;92.3099975585938;123.519998666667;122.879999333333;123.133332555556;123.030256128205;
FXI;46.8100013;46.5200004;46.8199996;46.25;24910434;0;47.4160002999999;47.5509999649999;47.3344000499999;19552366.8;17418521.7;20672610.68;0;7;6;-1;-0.868275920331829;2;-0.439998700000004;-3.68312172619331;1;-3.13045111959707;0;0;53.8499984741211;30.7700004577637;69.2300033569336;23.0799999237061;76.9199981689453;69.2300033569336;47.1500002;48.3100000666665;47.4777776444445;47.5448720410257;
IEV;46.8499984;46.8699989;46.8699989;46.6699981;609888;0;47.1219992799997;47.090499635;47.486999618;682017.6;530529.4;477895.76;0;8;12;4;-1.43067603323962;30;0.0999983999999969;-2.31442998987552;1;-2.28703683651891;0;0;84.620002746582;38.4599990844727;100;46.1500015258789;15.3800001144409;7.69000005722046;47.2299994666667;46.9366670666665;47.1811107444445;46.8225641025642;
EWJ;60.3149986;60.3600006;60.4000015;60.0649986;7903680;0;60.6669997600001;60.5182502299999;60.601300154;6170456;6583389;6396881.6;0;9;7;-2;-0.552354314451253;3;-0.355001400000006;-1.39774321817414;1;-3.14797063938351;0;0;61.5400009155273;53.8499984741211;84.620002746582;15.3800001144409;53.8499984741211;46.1500015258789;60.6766662;60.6933339;60.6966666777779;60.4589743538461;
DBC;17.2700004;17.5699996;17.5699996;17.25;2750489;0;17.7080001399998;17.940500215;17.701199982;1892677.8;2485504.45;2386911.78;0;10;10;0;-2.42938012991152;1;-0.519999599999998;-4.69095122777257;1;-4.30847401281193;1;0;46.1500015258789;23.0799999237061;38.4599990844727;0;100;53.8499984741211;17.7566674;17.7900002333333;17.8211114222222;17.8505129205129;
EZA;59.75;59.9300003;60.4099998;59.2900009;489375;0;60.3600005600002;62.68399977;65.103400442;434115;455843.75;438865.5;0;11;9;-2;-5.21890998259804;8;-2.12;-9.85214065793274;1;-2.56445006501817;0;0;0;15.3800001144409;76.9199981689453;30.7700004577637;84.620002746582;76.9199981689453;60.7633335666667;62.9633330666664;60.6122223999999;62.3582049102565;
SPY;277.029998;276.600006;277.510009;275.350006;120045562;0;278.254003199998;274.800995900001;270.08119946;79088112.4;70593338.1;77050787.24;0;12;3;-9;0;0;-2.10000200000002;1.75947993533205;1;3.94834913506438;0;0;7.69000005722046;84.620002746582;61.5400009155273;84.620002746582;23.0799999237061;23.0799999237061;278.706664333333;276.883330666667;278.652221;275.538972794872;
